,Symbol,Name,Volume,1dC%,1dV%,Open,High,Close,Sentiment
5,BBBY,Bed Bath & Beyond Inc.,105519200,-5.3,82.21,30,30.06,21.71,
29,F,Ford Motor Company,87711400,-0.38,-13.84,16.84,16.9,15.97,
14,CCL,Carnival Corporation & plc,67608300,-2.25,-0.28,17.3,17.48,15.53,
60,NCLH,Norwegian Cruise Line Holdings Ltd.,39182900,-3.77,3.61,17.17,17.38,15.38,
49,LCID,"Lucid Group, Inc.",35016600,-4.62,4.76,22.94,24.41,23.17,
21,DKNG,DraftKings Inc.,29355000,3.71,-6.35,20.58,20.89,18.05,
33,GM,General Motors Company,25926500,-0.93,9.43,42.29,42.44,39.83,
85,TSLA,"Tesla, Inc.",24073300,-2.46,-11.33,856.3,866.14,804.58,
76,RIVN,"Rivian Automotive, Inc.",22933800,0.52,-9.73,48,49.44,42.43,
55,M,"Macy's, Inc.",22471500,-8.12,32.75,24.67,24.79,21.42,
92,WISH,ContextLogic Inc.,20572500,-2.01,-1.38,1.88,2.03,1.99,
6,BBIG,"Vinco Ventures, Inc.",20084400,0.91,-23.45,2.34,2.36,2.2,
38,GPS,"The Gap, Inc.",20072500,-2.55,33.14,14.25,15.11,14.1,
40,GT,The Goodyear Tire & Rubber Company,17357300,-4.91,29.08,13.31,13.46,11.82,
15,CHPT,"ChargePoint Holdings, Inc.",16844700,-5.34,11.23,14.76,16.4,15.73,
62,NKLA,Nikola Corporation,14650300,-13.7,-54.33,6.75,6.9,6.64,
87,UAA,"Under Armour, Inc.",14647300,-2.6,35.71,15.24,15.3,13.83,
54,LVS,Las Vegas Sands Corp.,14619500,-2.49,39.69,40.82,40.82,36.1,
78,SBUX,Starbucks Corporation,14604200,0.54,26.84,90.04,90.05,84.46,
90,VRM,"Vroom, Inc.",12961000,3.53,-63.69,2.88,3.01,2.83,
68,PTON,"Peloton Interactive, Inc.",11848800,-0.13,12.71,23.59,24.08,22.52,
82,TJX,"The TJX Companies, Inc.",11448700,-2.86,-2.69,62.44,63.01,58.33,
61,NKE,"NIKE, Inc.",11382100,2.6,22.37,131,131.03,124.44,
1,AEO,"American Eagle Outfitters, Inc.",9991600,-6.42,37.56,18.14,18.29,16.51,
23,EBAY,eBay Inc.,9961400,2.81,4.14,55.5,56.46,54.85,
72,RCL,Royal Caribbean Cruises Ltd.,9461400,-1.99,28.99,68.31,69.48,63.28,
83,TPR,"Tapestry, Inc.",9428900,-0.97,37.31,36.17,36.45,32.12,
59,MGM,MGM Resorts International,9242400,-0.4,14.06,41.52,41.52,37.48,
46,JWN,"Nordstrom, Inc.",9189500,-3.97,-9.16,24.31,24.87,23.43,
0,ABNB,"Airbnb, Inc.",9155000,-8.01,-4.72,145,145.27,131.59,
75,RIDE,Lordstown Motors Corp.,8308200,-3.33,-10.87,2.16,2.3,2.1,
71,QS,QuantumScape Corporation,7993000,-3.92,-28.05,14.65,15.05,14.28,
32,FSR,Fisker Inc.,7712200,-2.25,-9.95,10.92,11.49,10.65,
86,UA,"Under Armour, Inc.",7165402,-2.35,52.53,14,14.03,12.75,
7,BBWI,"Bath & Body Works, Inc.",6912400,-0.2,18.08,49.98,50.17,45.5,
27,EXPE,"Expedia Group, Inc.",6829100,-5.53,-11.22,176.51,177.3,157.01,
77,RMO,"Romeo Power, Inc.",6767700,-2.04,-75.1,1.38,1.53,1.47,
94,WYNN,"Wynn Resorts, Limited",6367700,0.46,22,80.54,80.89,72.07,
64,PENN,"Penn National Gaming, Inc.",6315900,-2.05,-34.16,46.36,46.45,40.91,
11,BLMN,"Bloomin' Brands, Inc.",6183400,-3.54,46.28,22.47,22.51,18.37,
18,CZR,"Caesars Entertainment, Inc.",6062700,-0.86,40.34,78.8,78.92,69.64,
41,HBI,Hanesbrands Inc.,5820000,-3.3,-14.06,15.47,15.59,15.13,
84,TRIP,"TripAdvisor, Inc.",5772400,-11.77,11.03,21.43,21.8,20.65,
70,QRTEA,"Qurate Retail, Inc.",5759500,-4.89,-4.05,5.07,5.07,4.7,
37,GPK,Graphic Packaging Holding Company,5597500,2.17,21.31,20.23,20.24,18.92,
58,MCD,McDonald's Corporation,5422600,0.69,6.54,234.31,234.31,224.33,
63,OLPX,"Olaplex Holdings, Inc.",5240800,4.62,-21.15,15.83,16.04,14.06,
88,VFC,V.F. Corporation,5211100,-0.33,4.68,55.63,55.92,51.78,
17,CUK,Carnival Corporation & plc,5122800,-3.44,-4.95,15.86,16.04,14.25,
80,SFIX,"Stitch Fix, Inc.",5058200,-4.36,-64.29,11.05,11.27,10.55,
69,PTRA,Proterra Inc.,5052800,-1.66,13.05,7.29,7.8,7.23,
89,VLTA,Volta Inc.,4987500,-9.81,5.43,3.81,3.93,3.77,
8,BBY,"Best Buy Co., Inc.",4674500,3.42,24.67,105.54,109.13,104.71,
42,HD,"The Home Depot, Inc.",4667000,1.87,0.93,324.26,329.6,322.77,
93,WKHS,Workhorse Group Inc.,4569200,-5.51,-58.36,3.66,3.91,3.63,
30,FIGS,"FIGS, Inc.",4563700,-3.54,-11.03,13.64,14.23,13.56,
45,IP,International Paper Company,4446400,-1.54,-7.82,42.14,42.21,40.98,
2,AMZN,"Amazon.com, Inc.",4330800,1.05,-5.83,2908.87,2921.89,2749.06,
66,PRPL,"Purple Innovation, Inc.",4244700,-6.73,35.02,7.55,7.55,6.54,
25,ETSY,"Etsy, Inc.",4216100,-0.68,16.05,152.99,154.4,137.49,
20,DHI,"D.R. Horton, Inc.",4082200,-0.34,29.94,85.83,86.14,80.09,
19,DBGI,"Digital Brands Group, Inc.",4043700,30.61,70.83,1.44,2.05,1.96,
26,EVGO,"EVgo, Inc.",4035500,-8.5,-17.98,10.54,11.47,10.82,
53,LOW,"Lowe's Companies, Inc.",4021600,-0.45,9.16,224.03,227.98,222.26,
81,SFT,"Shift Technologies, Inc.",4003000,-14.38,30.28,1.66,1.73,1.53,
22,DKS,"DICK'S Sporting Goods, Inc.",3999600,-2.09,-16.2,110.25,111.96,99.5,
48,KSS,Kohl's Corporation,3933600,-4.3,10.64,58.31,58.65,51.15,
65,PHM,"PulteGroup, Inc.",3841400,0.41,31.68,49.17,49.83,46.27,
73,REAL,"The RealReal, Inc.",3824600,-0.15,3.83,7.49,7.63,6.51,
56,MAR,"Marriott International, Inc.",3768200,-3.19,-31.08,159.22,159.22,148.06,
67,PRTY,Party City Holdco Inc.,3705600,-7.45,-29.64,3.55,3.61,3.22,
31,FL,"Foot Locker, Inc.",3702000,-6.85,10.43,29.8,29.92,28.03,
95,XL,XL Fleet Corp.,3639800,-16.24,-32.31,1.88,2.03,1.97,
57,MAT,"Mattel, Inc.",3551900,0.96,-4.66,24.04,24.34,22.87,
10,BIRD,"Allbirds, Inc.",3422900,4.18,6.23,6.32,6.39,5.98,
28,EXPR,"Express, Inc.",3260500,-3.53,11.89,4.38,4.53,3.97,
3,ASO,"Academy Sports and Outdoors, Inc.",3187200,-3.21,-7.31,32.16,32.73,29.95,
34,GME,GameStop Corp.,3144800,-3.68,32.57,115,115,99.35,
44,HYZN,Hyzon Motors Inc.,3056300,-13.13,-21.46,4.92,5.45,5.33,
91,WEN,The Wendy's Company,3046300,-0.57,16.95,21.51,21.55,20.94,
50,LEN,Lennar Corporation,2947900,-0.59,30.73,89.33,90.12,83.26,
16,CHWY,"Chewy, Inc.",2782900,1.84,-35.3,45.43,47.12,42.83,
43,HYLN,Hyliion Holdings Corp.,2459000,-6.68,-44.75,3.75,3.9,3.74,
4,BARK,The Original BARK Company,2227400,-6.18,5.64,2.7,2.89,2.75,
36,GOEV,Canoo Inc.,2215800,-1.82,-17.87,4.95,5.17,4.95,
13,BROS,Dutch Bros Inc.,1799300,-5.25,5.01,48.95,49.04,45.11,
47,KAR,"KAR Auction Services, Inc.",1702700,2.74,5.95,17.69,18.1,17.91,
96,XSPA,"XpresSpa Group, Inc.",1532700,0,26.32,1.02,1.03,1,
35,GOED,1847 Goedeker Inc.,1513200,1.16,-31.74,1.79,1.8,1.72,
9,BGFV,Big 5 Sporting Goods Corporation,1205200,-7.39,17.85,16.36,16.71,15.29,
51,LIDR,"AEye, Inc.",1139400,-2.6,22.35,3,3.82,3.46,
12,BLNK,Blink Charging Co.,1130200,-8.28,-48.97,22.2,23.39,22.46,
74,RGS,Regis Corporation,1111400,-12.65,16.3,1.54,1.71,1.66,
79,SEV,Sono Group N.V.,1095600,-12.02,21.49,4.31,4.37,4.03,
52,LOTZ,"CarLotz, Inc.",758300,-1.2,-54.18,1.63,1.71,1.67,
39,GRIL,"Muscle Maker, Inc.",749400,-2.44,-34.02,0.42,0.45,0.39,
24,EFOI,"Energy Focus, Inc.",166300,-46.72,-1494.4,1.33,1.37,1.22,
