,Symbol,Name,Volume,1dC%,1dV%,Open,High,Close,Sentiment
15,KO,The Coca-Cola Company,29150000,3.96,-1.6,62.01,62.07,61.08,
16,KR,The Kroger Co.,23453800,3.65,54.61,58.44,62.58,57.82,
6,COTY,Coty Inc.,20029200,-4.22,14.79,8.17,8.23,7.35,
29,WMT,Walmart Inc.,15273000,2.07,38.23,141.3,143.63,141.67,
24,PM,Philip Morris International Inc.,14333500,-0.83,43.04,97.35,97.59,93.2,
17,MDLZ,"Mondelez International, Inc.",13768300,2.77,5.31,63.76,63.76,62.53,
14,KHC,The Kraft Heinz Company,9899500,3.71,9.31,39.49,40.87,40.15,
19,MO,"Altria Group, Inc.",9595800,3.71,-47.84,52.8,53.53,52.85,
0,ADM,Archer-Daniels-Midland Company,8596900,1.0,41.02,84.9,87.99,83.97,
23,PG,The Procter & Gamble Company,8373700,3.96,-5.85,154.49,154.52,152.84,
13,KDP,Keurig Dr Pepper Inc.,6681800,2.44,3.03,38.78,39.25,38.14,
22,PEP,"PepsiCo, Inc.",6317000,2.82,2.43,164.07,165.15,162.45,
27,TGT,Target Corporation,5742400,1.06,25.02,224.1,224.61,211.04,
18,MNST,Monster Beverage Corporation,5474500,3.35,19.14,81.34,81.34,75.0,
26,SYY,Sysco Corporation,5409000,3.14,-10.38,84.84,84.86,77.75,
2,CAG,"Conagra Brands, Inc.",4734500,8.22,-70.94,34.16,34.48,33.7,
9,GIS,"General Mills, Inc.",4374100,5.78,-51.53,67.61,68.27,67.67,
8,DLTR,"Dollar Tree, Inc.",4303900,-4.22,4.5,143.45,147.87,140.86,
4,CL,Colgate-Palmolive Company,4298600,2.36,-14.16,76.91,77.24,76.68,
12,KAVL,"Kaival Brands Innovations Group, Inc.",4219700,15.12,13.06,2.73,2.85,2.58,
5,COST,Costco Wholesale Corporation,3894600,0.98,6.29,523.45,545.29,528.52,
28,USFD,US Foods Holding Corp.,3877500,4.52,11.4,36.32,36.4,32.3,
10,HIMS,"Hims & Hers Health, Inc.",3691200,0.92,-13.77,4.59,4.77,4.33,
7,CPB,Campbell Soup Company,3639700,7.07,-70.01,45.31,45.87,45.52,
1,BYND,"Beyond Meat, Inc.",3493300,-0.4,24.68,42.5,44.35,42.31,
21,NWL,Newell Brands Inc.,3484100,-0.32,11.54,22.89,22.99,22.05,
3,CHGG,"Chegg, Inc.",3140200,0.03,21.69,30.94,31.32,30.26,
11,HRL,Hormel Foods Corporation,2789300,3.68,18.23,51.28,53.19,52.2,
25,SKIN,The Beauty Health Company,2330100,-1.03,18.32,18.7,19.14,17.47,
20,NUZE,"NuZee, Inc.",28200,4.41,-107.11,2.08,2.11,2.04,
