,Symbol,Name,Volume,1dC%,1dV%,Open,High,Close,Sentiment
6,CEI,"Camber Energy, Inc.",639858500,3.12,-12.73,0.9,1.47,1.28,
32,OXY,Occidental Petroleum Corporation,81250100,1.41,0.86,57.71,58.77,55.38,
51,XOM,Exxon Mobil Corporation,55140300,-0.76,-29.36,84.92,87.23,87.12,
42,SWN,Southwestern Energy Company,37153500,-1.08,-55.73,5.51,5.84,5.54,
28,MRO,Marathon Oil Corporation,35893000,0.99,-16.29,24.0,25.39,24.33,
12,CVX,Chevron Corporation,34810600,-5.24,-63.04,159.9,162.1,162.04,
4,BTU,Peabody Energy Corporation,32723100,-2.59,40.36,24.71,26.35,22.0,
23,IO,ION Geophysical Corporation,32345600,16.55,52.72,0.99,1.48,1.39,
43,TELL,Tellurian Inc.,30366000,-0.24,-39.04,3.93,4.26,4.09,
39,SLB,Schlumberger Limited,29770700,-7.08,-36.1,39.49,43.4,42.1,
22,HAL,Halliburton Company,28026900,-1.43,-21.75,34.3,37.47,36.24,
18,ET,Energy Transfer LP,26773000,-0.77,-74.09,10.58,10.59,10.34,
24,KMI,"Kinder Morgan, Inc.",24450900,0.27,-25.79,18.9,19.15,18.72,
44,UEC,Uranium Energy Corp.,22082800,-3.06,0.44,3.94,4.58,4.58,
13,DVN,Devon Energy Corporation,21952300,0.68,-8.28,60.5,62.79,59.89,
29,NOV,NOV Inc.,21025200,-3.63,18.5,18.44,22.67,21.19,
41,SNMP,Evolve Transition Infrastructure LP,20407200,-7.87,-0.37,0.7,0.95,0.89,
25,KOS,Kosmos Energy Ltd.,19967000,-8.19,-35.39,5.74,5.94,5.62,
3,BKR,Baker Hughes Company,19492400,-0.06,-14.41,33.2,35.92,34.78,
5,CDEV,"Centennial Resource Development, Inc.",19230600,4.3,-21.43,8.76,9.24,8.84,
35,PED,PEDEVCO Corp.,19084800,10.89,23.31,1.71,2.06,2.02,
50,WTI,"W&T Offshore, Inc.",17354500,4.98,33.48,6.0,6.68,6.22,
11,CTRA,Coterra Energy Inc.,17110300,3.67,0.64,27.29,27.93,27.0,
1,APA,APA Corporation,15945200,-1.87,-3.39,39.91,40.56,37.92,
9,COP,ConocoPhillips,13782400,2.44,-23.63,101.49,103.77,101.27,
2,AR,Antero Resources Corporation,12881100,0.76,11.54,25.54,27.13,26.25,
17,EQT,EQT Corporation,12772200,3.43,14.62,26.86,27.07,26.52,
49,WMB,"The Williams Companies, Inc.",11714300,1.62,-14.96,33.73,34.39,33.4,
26,MPC,Marathon Petroleum Corporation,9392100,-2.25,-10.16,77.77,78.69,74.54,
16,EPD,Enterprise Products Partners L.P.,9050400,-0.71,-68.78,25.55,25.65,25.36,
37,PTEN,"Patterson-UTI Energy, Inc.",8769200,1.56,23.75,15.48,16.49,16.04,
38,RRC,Range Resources Corporation,8633100,2.21,17.79,26.64,27.42,26.73,
33,PAA,"Plains All American Pipeline, L.P.",7476000,-4.43,-162.72,11.01,11.42,10.83,
46,UUUU,Energy Fuels Inc.,7370800,-5.7,-18.36,8.62,9.19,8.59,
31,OVV,Ovintiv Inc.,6907500,3.22,24.38,49.34,50.87,48.74,
19,ETRN,Equitrans Midstream Corporation,6381200,-0.56,2.97,7.02,7.42,7.09,
36,PSX,Phillips 66,6179100,-2.07,-119.41,85.22,85.96,82.6,
47,VLO,Valero Energy Corporation,5609400,-7.77,-90.87,87.26,87.69,84.01,
15,EOG,"EOG Resources, Inc.",5515900,1.95,-36.29,120.02,121.78,120.15,
34,PBF,PBF Energy Inc.,5130900,-18.65,-99.11,20.33,21.32,19.84,
40,SM,SM Energy Company,4820800,2.25,12.7,40.25,42.38,40.82,
8,CNX,CNX Resources Corporation,4811800,1.09,-11.47,17.8,18.57,18.29,
10,CRK,"Comstock Resources, Inc.",4691900,3.64,-9.98,9.65,10.17,9.9,
7,CLNE,Clean Energy Fuels Corp.,4506000,-7.93,-63.81,7.49,7.92,7.44,
20,FANG,"Diamondback Energy, Inc.",4260700,0.0,3.35,139.11,140.23,134.44,
14,ENLC,"EnLink Midstream, LLC",3895900,3.84,-260.24,10.07,10.28,9.64,
45,URG,Ur-Energy Inc.,3827300,-6.02,-10.74,1.59,1.75,1.66,
21,FTK,"Flotek Industries, Inc.",3604300,-4.85,-58.24,1.73,1.75,1.65,
30,OKE,"ONEOK, Inc.",3256400,2.58,-15.96,69.0,69.9,68.51,
48,VTNR,"Vertex Energy, Inc.",3053000,-24.15,-383.72,6.67,6.76,6.17,
27,MPLX,MPLX LP,3024700,-1.48,-140.66,32.85,33.57,32.54,
0,AM,Antero Midstream Corporation,2970900,0.1,-79.57,10.29,10.52,10.21,
