,Symbol,Name,Volume,Open,High,Close,Sentiment
0,AFL,Aflac Incorporated,3728000,61.37,62.38,62.16,0.24
1,AIG,"American International Group, Inc.",5318700,59.6,60.97,60.74,0.36
2,ALL,The Allstate Corporation,2314100,122.81,126.2,125.95,0.31
5,ARCC,Ares Capital Corporation,5307600,20.95,21.26,21.22,0.34
6,AXP,American Express Company,3042500,172.49,175.36,174.38,0.32
7,BAC,Bank of America Corporation,59057500,48.15,49.31,49.18,0.38
9,BENE,Benessere Capital Acquisition Corp.,697500,10.18,10.25,10.19,0.87
10,BGCP,"BGC Partners, Inc.",2498200,4.59,4.69,4.59,0.75
13,BX,Blackstone Inc.,2962900,118.83,119.99,116.65,0.25
14,C,Citigroup Inc.,26537600,65.18,66.55,65.78,0.3
15,CFG,"Citizens Financial Group, Inc.",4214000,53.93,54.46,54.22,0.33
17,CG,The Carlyle Group Inc.,987200,51.46,51.93,51.02,0.51
18,COF,Capital One Financial Corporation,3285600,150.63,155.63,154.69,0.73
19,DWAC,Digital World Acquisition Corp.,6219200,56.29,57.86,53.98,0.65
20,DWACW,Digital World Acquisition Corp.,,,,,0.77
21,EQH,"Equitable Holdings, Inc.",3021700,35.35,36,35.49,0.21
22,FHN,First Horizon Corporation,5457400,18.14,18.46,18.39,0.64
23,FITB,Fifth Third Bancorp,5191200,48.26,48.95,48.8,0.49
24,FNB,F.N.B. Corporation,3201800,13.54,13.76,13.72,0.56
28,GS,"The Goldman Sachs Group, Inc.",2359800,397.67,400.55,397.51,0.31
29,HBAN,Huntington Bancshares Incorporated,11697800,17,17.34,17.22,0.73
30,HIPO,Hippo Holdings Inc.,2501200,2.52,2.56,2.47,0.59
32,IVZ,Invesco Ltd.,4912000,24.47,24.83,24.54,0.5
33,JPM,JPMorgan Chase & Co.,13910500,165.67,167.53,167.16,0.29
35,KKR,KKR & Co. Inc.,2937400,70.37,70.68,69.5,0.43
36,LC,LendingClub Corporation,1634400,22.35,23.44,22.43,0.33
39,MET,"MetLife, Inc.",5002600,66.74,67.88,67.26,0.27
42,MS,Morgan Stanley,6127600,103.51,104.53,104.05,0.45
49,PYPL,"PayPal Holdings, Inc.",12622400,190.02,193.12,187.6,0.25
55,SCHW,The Charles Schwab Corporation,7343800,90.55,92.32,91.74,0.3
58,STT,State Street Corporation,4315700,98.65,102.32,101.66,0.25
59,SYF,Synchrony Financial,5465900,47.24,48.9,48.21,0.25
61,UNM,Unum Group,2589200,27.15,28.11,27.89,0.77
63,USB,U.S. Bancorp,7040100,59.9,61.17,61,0.54
66,VOYA,"Voya Financial, Inc.",1190200,71.15,72.6,72.54,0.28
67,WFC,Wells Fargo & Company,35138000,53.86,55.19,54.77,0.23
68,WU,The Western Union Company,7734800,18.41,19.01,19.01,0.46
