,Symbol,Name,Volume,Open,High,Close,Sentiment
6,BE,Bloom Energy Corporation,2228500,19.42,20.24,19.25,0.52
8,CARR,Carrier Global Corporation,4117000,53.33,53.83,51.84,0.37
9,CAT,Caterpillar Inc.,3672800,222.5,225.97,224.19,0.21
11,CSX,CSX Corporation,9770200,37.58,37.78,37.51,0.56
12,DAL,"Delta Air Lines, Inc.",13933100,40.72,41.97,41.51,0.31
13,EMR,Emerson Electric Co.,2863600,96.55,96.97,95.69,0.34
15,FCEL,"FuelCell Energy, Inc.",18317500,5.19,5.36,5.1,0.63
18,GE,General Electric Company,6248300,99.8,102.24,101.4,0.26
24,JBLU,JetBlue Airways Corporation,10918900,14.89,15.36,15.11,0.24
28,MIC,"Macquarie Infrastructure Holdings, LLC",1918700,3.63,3.65,3.63,0.81
30,MMM,3M Company,2800200,178.13,180.49,179.95,0.3
31,NES,"Nuverra Environmental Solutions, Inc.",1208000,2.64,2.79,2.25,0.26
32,NLSN,Nielsen Holdings plc,4806200,20.38,21.01,21,0.75
38,PLUG,Plug Power Inc.,13154800,25.35,26.24,24.96,0.22
42,RRD,R. R. Donnelley & Sons Company,717600,11.2,11.27,11.21,0.56
43,RTX,Raytheon Technologies Corporation,4835300,90.26,91.37,90.44,0.33
46,SPCE,"Virgin Galactic Holdings, Inc.",15888900,12,12.81,12.45,0.26
48,UAL,"United Airlines Holdings, Inc.",11639500,46.31,47.77,47.31,0.28
49,UAVS,"AgEagle Aerial Systems, Inc.",1144100,1.53,1.6,1.51,0.36
50,UNP,Union Pacific Corporation,2346600,252.79,256.11,254.78,0.27
52,UPS,"United Parcel Service, Inc.",3013800,217.35,219.45,218.16,0.26
